Player,KilledBy,Weapon,Distance,Storm Phase,Timestamp,Match,Placed,Kills
Bizzle,,,,8,,1,1,4
Skite,Bizzle,Smg,,8,22:33,1,2,7
Smeef,Skite,Shotgun,,8,22:07,1,3,5
Vinny1x,Skite,Shotgun,,8,22:03,1,4,5
Animal,Smeef,Shotgun,,8,21:57,1,5,1
Tommo,Smeef,Smg,,8,21:53,1,6,5
Jamside,Tommo,Rifle,,8,21:51,1,7,3
Kinstaar,Tommo,Shotgun,,7,21:30,1,8,1
Kamo,Skite,Shotgun,,7,21:26,1,9,2
Zayt,Kinstaar,Rifle,,7,21:25,1,10,1
Airwaks,Vinny1x,Shotgun,,7,21:17,1,11,0
7ssk7,Vinny1x,Rifle,,7,21:15,1,12,3
Noward,Vinny1x,Shotgun,,7,21:12,1,13,1
72hrs,,Storm,,7,21:11,1,14,1
Pr0vokd,Bizzle,Smg,,7,21:09,1,15,2
Alpha,7ssk7,Shotgun,,7,21:07,1,16,2
Vivid,Kamo,Shotgun,,7,21:06,1,17,2
Crazy Llama,Tommo,Shotgun,,7,20:59,1,18,0
Ares,Smeef,Smg,,7,20:58,1,19,2
Tuckz,Kamo,Shotgun,,7,20:56,1,20,1
Zyppaan,Vinny1x,Shotgun,,7,20:54,1,21,2
Dmo,Tuckz,Splode,,7,20:52,1,22,3
x2Jesse,Tommo,Shotgun,,7,20:49,1,23,1
Bloodx,Skite,Shotgun,,7,20:46,1,24,2
Faxfox,Skite,Shotgun,,7,20:46,1,25,1
Nikof,,Storm,,6,20:42,1,26,1
Sinooh,Bloodx,Shotgun,,6,20:39,1,27,1
Ryux,DMO,Shotgun,,6,20:37,1,28,1
Razzzero0o, ,Storm,,6,20:32,1,29,0
Zexrow,7ssk7,Shotgun,,6,20:32,1,30,1
Povity,Skite,Smg,,6,20:33,1,31,2
Lil Jay,Bizzle,Rifle,,6,20:30,1,32,0
Histtory,Ares,Smg,,6,20:29,1,33,1
Domentos,Vivid,Smg,,6,20:28,1,34,2
Sak0ner,Noward,Shotgun,,6,20:20,1,35,1
Nate,Sak0ner,Rifle,,6,20:10,1,36,1
Sk1x,Smeef,Shotgun,,6,20:09,1,37,1
Khuna,Sk1x,Smg,,6,19:58,1,38,1
Zero7,Smeef,Shotgun,,6,19:53,1,39,0
Funkbomb,Vinny1x,Shotgun,,6,19:45,1,40,0
Chap,Tommo,Smg,,6,19:26,1,41,1
Zeek,Pr0vokd,Shotgun,,6,19:23,1,42,0
Hoopek,Jamside,Rifle,,5,19:04,1,43,2
Jarkos,Histtory,Smg,,5,18:44,1,44,0
Skram,Alpha,Rifle,,5,18:18,1,45,0
Andeeza,Domentos,Rifle,66,5,18:08,1,46,1
Cloud,Skite,Sniper,27,5,18:05,1,47,0
Boyer,7ssk7,StinkGrenade,,5,17:54,1,48,0
Rizart,Nikof,Rifle,58,5,17:37,1,49,0
Seth,Povity,Rifle,,5,17:30,1,50,2
Motor,Vivid,Rfile,,5,17:30,1,51,0
