Player,Team,Country
72hrs,Liquid,United States
7ssk7,Virtus Pro,Belarus
Aimhero_o,OP,South Korea
Airwaks,Solary,Switzerland
Alpha,Natus Vincere,Sweden
Andeeza,,Ireland
Animal,Sentinels,United States
Ares,Forward,United Kingdom
Aspect,Sentinels,United States
Aydan,Ghost,United States
Beehive,,Sweden
Bizzle,Ghost,United States
Blaxou,LeStream,France
Bloodx,E11,Norway
Bowman,Natus Vincere,Sweden
Boyer,E11,Denmark
Chap,Liquid,United States
Cloud,TSM,United States
Coffeh,,Sweden
Crazy Llama,Crazy Racoon,Japan
Crippa,E11,Sweden
Dmo,Ghost,United States
Domentos,Secret,Latvia
Envy,Meta,South Korea
Eryc,Fnatic,Lithuania
Faah,INTZ,Brazil
Faxfox,OP,South Korea
Funkbomb,Faze,United States
Fwexy,Gambit,Germany
Histtory,INTZ,Brazil
Hoopek,Devils.one,Poland
Hunter,Solary,France
Inclyde,Unique,Russia
Issa,Ghost,Switzerland
Itemm,,United Kingdom
Jamside,Virtus Pro,Russia
Jarkos,Check-Point,Poland
Jarl,Fnatic,Denmark
Julez,GamersOrigin,France
K1nzell,Atlantis,Slovenia
Kamo,Ghost,Germany
Kejser,Atlantis,Denmark
Keolys,Vitality,France
Khuna,Atlantis,Sweden
Kinstaar,Solary,Switzerland
Lil Jay,World Elite,China
Lolito,Vodafone Giants,Spain
M11Z,GamersOrigin,France
Madzen,LDLC,France
Magin,Atlantis,United Kingdom
Marki,Heretics,Spain
Maxalibur,Vitality,France
Milan,Secret,Netherlands
Mirwana,Unique,Russia
Mitr0,Atlantis,Netherlands
Motor,Fnatic,Turkey
Mushway,Prism Gang,France
Myth,TSM,United States
Nate,Faze,United States
Nero,Devils.one,Poland
Nikof,Solary,France
Noward,Forward,Belgium
Poach,Liquid,United States
Povity,AGO,Poland
Pow3r,Fnatic,Italy
Pr0vokd,,Norway
Razzzero0o,G2,Germany
Rizart,Crazy Racoon,Japan
Ryux,Heretics,Spain
Saf,Ghost,United States
Sak0ner,Nordavind,Norway
Seth,LDLC,France
Sinooh,Meta,South Korea
Sk1x,Devils.one,Poland
Skite,LeStream,France
Skram,Lootboy,Denmark
Smeef,,United Kingdom
Stompy,E11,Austria
Svennoss,NRG,Netherlands
Taiovsky,Devils.one,Poland
Teeqzy,Prism Gang,Belgium
TheVic,LeStream,France
Tommo,Alliance,United Kingdom
Tschinken,E11,Austria
Tuckz,Atlantis,United Kingdom
Vato,LeStream,Switzerland
Viallinen,,Finland
Villex,,Greece
Vinny1x,TSM,United States
Vivid,Liquid,United States
Windwalker,,Finland
x2Jesse,Renegades,Australia
x2Jordan,Renegades,Australia
x8,G2,Switzerland
Xlsma,Vodafone Giants,Spain
Zayt,NRG,Canada
Zeek,AGO,Poland
Zero7,World Elite,China
Zexrow,TSM,United States
Zyppaan,,Sweden
